State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,11-05-2006,1771,2314,2252,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,13-05-2006,1949,2260,2216,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,16-09-2006,2050,2864,2736,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,03-10-2006,2800,3000,2844,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,12-10-2006,2335,2945,2760,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Local,FAQ,10-04-2006,1600,1650,1625,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,24-03-2007,2025,2260,2143,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,04-04-2007,2290,2390,2340,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,12-04-2007,2020,2300,2160,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,18-04-2007,2160,2255,2208,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,25-04-2007,2140,2225,2183,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,28-04-2007,2050,2145,2098,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,02-05-2007,2060,2190,2125,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,04-05-2007,2025,2210,2118,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,05-05-2007,2105,2205,2155,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,16-05-2007,2010,2170,2090,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,26-05-2007,1900,1980,1940,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,28-05-2007,1885,2005,1945,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,01-06-2007,1950,2065,2008,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,07-06-2007,1915,2035,1975,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,15-06-2007,2065,2065,2065,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,29-06-2007,2105,2265,2185,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,06-07-2007,2000,2215,2108,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,17-07-2007,2060,2255,2158,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,02-01-2006,1727,1866,1799,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,16-01-2006,1709,1840,1735,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,18-01-2006,1550,1773,1628,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,20-01-2006,1600,1689,1600,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,21-01-2006,1577,1577,1577,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,01-02-2006,1471,1608,1600,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,03-02-2006,1435,1684,1639,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,11-02-2006,1549,1727,1700,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,18-02-2006,1508,1750,1580,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,29-03-2006,1450,1922,1800,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,03-04-2006,1451,1909,1860,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,13-04-2006,1500,1915,1880,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,05-05-2006,1718,2133,2100,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,06-05-2006,1959,2170,2136,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,08-05-2006,1600,2276,2200,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,18-05-2006,2000,2297,2261,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,19-05-2006,2095,2283,2242,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,05-10-2006,1920,2985,2750,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,10-10-2006,2398,2914,2881,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,13-10-2006,2601,2827,2782,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,11-08-2005,1455,1713,1675,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,18-08-2005,1491,1690,1671,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,16-09-2005,1532,1600,1600,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,08-10-2005,1551,1869,1758,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,05-12-2005,1695,1791,1716,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,10-12-2005,1692,1802,1763,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,20-12-2005,1479,1752,1718,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,23-12-2005,1600,1797,1741,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,26-12-2005,1450,1860,1740,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,28-12-2005,1482,1789,1780,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,29-12-2005,1571,1821,1788,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,30-12-2005,1640,1844,1805,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,29-08-2005,2000,2200,2200,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,11-09-2005,2000,2100,2100,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,21-09-2005,2060,2150,2150,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,10-01-2006,1510,1848,1786,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,19-01-2006,1675,1780,1773,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,02-02-2006,1532,1736,1619,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,07-02-2006,1450,1706,1695,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,08-02-2006,1621,1763,1715,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,17-02-2006,1488,1640,1595,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,28-03-2006,1450,1922,1800,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,01-04-2006,1551,1870,1771,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,07-04-2006,1604,1970,1940,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,14-04-2006,1568,1960,1844,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,18-04-2006,1768,1980,1950,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,19-04-2006,1436,1975,1921,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,20-04-2006,1620,1980,1960,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,01-05-2006,1580,2190,2140,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,09-05-2006,1600,2300,2244,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,14-09-2006,2007,2860,2770,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,15-09-2006,2015,2954,2871,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,18-09-2006,2206,2981,2755,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,19-09-2006,2305,3000,2880,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,04-10-2006,2386,3000,2869,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,07-10-2006,2538,3054,2872,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,12-08-2005,1430,1693,1674,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,17-08-2005,1600,1700,1681,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,02-09-2005,1500,1657,1656,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,23-09-2005,1518,1645,1644,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,24-09-2005,1582,1636,1588,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,05-10-2005,1353,1746,1701,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,14-12-2005,1455,1840,1726,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,F.A.Q. (Whole),FAQ,27-12-2005,1500,1821,1811,7
